app,ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,
mose,0,0,0,0,0,0,
imgd,0,0,0,0,0,0,
cc,1.036436,1.459981,21.2549,7.2425,174.9,116.8,
bc,0.0,0.0,20.9001,0,0.0,0.0,
lbm,0,0,0,0,0,0,
masst,0,0,0,0,0,0,
pr,0.743552,0.854447,18.6812,5.6846,141.1,109.0,
cactB,0,0,0,0,0,0,
tc,1.366816,1.389621,17.5907,4.6559,113.2,101.5,
parst,0,0,0,0,0,0,
sphx,0,0,0,0,0,0,
bfs,1.225448,1.258282,12.5213,2.9266,128.2,105.0,
omntp,0,0,0,0,0,0,
wrf,0,0,0,0,0,0,
xz,0,0,0,0,0,0,
mica,0,0,0,0,0,0,
cam4,0,0,0,0,0,0,
mDB,0,0,0,0,0,0,
mcf,0,0,0,0,0,0,
sssp,0.993915,0.948052,10.8717,2.5999,121.0,105.2,
xapn,0,0,0,0,0,0,
leela,0,0,0,0,0,0,
nab,0,0,0,0,0,0,
povray,0,0,0,0,0,0,
deepsj,0,0,0,0,0,0,
perlbc,0,0,0,0,0,0,
