app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,ddr_st,cxl_st
mose,0.319,0.985,16.75,11.29,535,240,8586,2680
imgd,0.359,0.917,15.78,10,273.701,186.45,,
mDB,0.2509,0.5429,17.35,12.49,755,253,,
bc,0.2124,0.392,11.73,5.03,251,183,,
pr1,0.21432,0.3916,14.2151,7.143,271.42,186.63,,
masst,0.34,0.58,12.13,8.11,239,193,265,128
pr,0.4703,0.7545,12.18,4.67,167,175,,
bfs,0.438,0.663,12,4.71,229,184,,
tc,0.9231,1.1999,12.35,4.09,138,164,,
sphx,0.591,0.74,9.45,2.63,167.8,171.3,0,0
mica,1.03,1.18,7,1.72,119,164,0,0
sssp,0.8754,0.928,9.0636,2.3547,140,168,,
xapn,1.83,1.83,4.21,1.04,136.07,166.37,0,0
