app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,ddr_st,cxl_st,ddr_st_p90,cxl_st_p90
mose,0,0,0,0,0,0,0,0,,
imgd,0.368899,1.001474,32.4353,21.7806,340.1,132.3,0,0,,
mDB,0.207803,0,34.6881,0,803.3,0,0,0,,
bc,0,0,0,0,0,0,0,0,,
masst,0.348511,0.594023,24.3795,15.8543,244.6,132.9,250,122,345,129
pr,0,0,0,0,0,0,0,0,,
bfs,0,0,0,0,0,0,0,0,,
tc,0,0,0,0,0,0,0,0,,
sphx,0.618625,0.765872,19.1971,5.2635,175.4,112.2,0,0,,
mica,1.065,1.2,13.9,3.63,119.9,105.5,0,0,,
sssp,0,0,0,0,0,0,0,0,,
xapn,1.829987,1.830915,8.414,2.101,136.3,106.6,0,0,,
