app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,ddr_st,cxl_st,ddr_st_p90,cxl_st_p90,
mose,0.35682,1.106062,32.7338,22.441,713,182.1,8304,2616,10484,3830,
imgd,0.368899,1.001474,32.4353,21.7806,340.1,132.3,0,0,,,
cc,0.674596,1.359378,27.4275,13.3665,263.6,128.5,,,,,
bc,0.21818,0.396122,24.348,10.0093,271.5,124,0,0,,,
lbm,0.360561,0.644653,25.8164,11.2189,308.1,137,,,,,
masst,0.373681,0.604092,23.9778,15.4015,241.1,133,238,121,343,127,
pr,0.536243,0.819228,26.698,10.8331,204.8,116.5,0,0,,,
cactB,1.117174,1.612453,18.5241,6.7298,264.5,126.8,,,,,
tc,1.001053,1.33487,27.1543,8.6322,159.2,105,0,0,,,
parst,0.741384,1.028959,30.0181,10.3376,167.1,101.6,0,0,0,0,high_write_latency_low_rdlat
sphx,0.545072,0.693196,22.3316,7.079,190,113,0,0,,,
bfs,1.241011,1.549528,15.2211,3.0622,160,106,0,0,,,
omtp,0.671067,0.826903,23.7399,7.1948,195.4,116.7,,,,,
wrf,1.159048,1.346353,18.5202,6.2687,203.4,120.9,,,,,
xz,1.09639435588752,1.25268,12.3064998604521,4.23549822804312,229.4,121.8,,,,,
mica,1.065,1.2,13.9,3.63,119.9,105.5,0,0,,,
cam4,1.097378,1.211149,13.4292,3.6967,168.4,116.6,,,,,
mDB,1.325821,1.459922,13.2783,3.5241,161.2,112.9,0,0,,,
mcf,1.288626,1.417123,21.4622,5.5104,140.9,101,,,,,#higher_wrlat,
sssp,0.914244,0.947421,9.52352551787976,2.38863905554483,144.8,108.5,0,0,,,
xapn,1.771577,1.788797,11.6107,2.9771,158,111,3337,3330,6240,6228,
leela,1.87782,1.869055,0.368304447239055,0.0814377176808091,93,94.3,,,,,
nab,1.73423,1.736986,1.10394606270057,0.275438307030122,102,100.1,,,,,
povray,1.910061,1.903025,0.0701,0.0184,101.4,97,,,,,
deepsj,2.250542,2.224615,1.7483,0.4193,111.9,102.6,,,,,
perlbc,1.730849,1.692264,1.9944,0.4622,108.3,101,,,,,
