DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.19,
50,0.30,
60,0.37,
70,0.43,
80,0.47,
90,0.50,
100,0.53,
110,0.57,
120,0.60,
130,0.63,
140,0.65,
150,0.67,
160,0.69,
170,0.71,
180,0.73,
190,0.74,
200,0.76,
210,0.77,
220,0.78,
230,0.79,
240,0.80,
250,0.81,
260,0.82,
270,0.83,
280,0.83,
290,0.84,
300,0.85,
310,0.85,
320,0.86,
330,0.86,
340,0.87,
350,0.87,
360,0.88,
370,0.88,
380,0.89,
390,0.89,
400,0.90,
410,0.90,
420,0.90,
430,0.91,
440,0.91,
450,0.91,
460,0.92,
470,0.92,
480,0.92,
490,0.92,
500,0.93,
510,0.93,
520,0.93,
530,0.93,
540,0.94,
550,0.94,
560,0.94,
570,0.94,
580,0.94,
590,0.95,
600,0.95,
610,0.95,
620,0.95,
630,0.95,
640,0.95,
650,0.96,
660,0.96,
670,0.96,
680,0.96,
690,0.96,
700,0.96,
710,0.96,
720,0.97,
730,0.97,
740,0.97,
750,0.97,
760,0.97,
770,0.97,
780,0.97,
790,0.97,
800,0.97,
810,0.97,
820,0.98,
830,0.98,
840,0.98,
850,0.98,
860,0.98,
870,0.98,
880,0.98,
890,0.98,
900,0.98,
910,0.98,
920,0.98,
930,0.98,
940,0.98,
950,0.98,
960,0.98,
970,0.99,
980,0.99,
990,0.99,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.55,
80,0.70,
90,0.78,
100,0.82,
110,0.84,
120,0.86,
130,0.88,
140,0.90,
150,0.91,
160,0.92,
170,0.93,
180,0.93,
190,0.93,
200,0.94,
210,0.94,
220,0.94,
230,0.94,
240,0.94,
250,0.95,
260,0.95,
270,0.95,
280,0.95,
290,0.95,
300,0.96,
310,0.96,
320,0.96,
330,0.96,
340,0.97,
350,0.97,
360,0.97,
370,0.97,
380,0.98,
390,0.98,
400,0.98,
410,0.98,
420,0.99,
430,0.99,
440,0.99,
450,0.99,
460,0.99,
470,0.99,
480,0.99,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
