DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.04,
50,0.06,
60,0.08,
70,0.10,
80,0.11,
90,0.13,
100,0.15,
110,0.17,
120,0.19,
130,0.22,
140,0.25,
150,0.27,
160,0.30,
170,0.32,
180,0.35,
190,0.37,
200,0.40,
210,0.42,
220,0.44,
230,0.47,
240,0.49,
250,0.51,
260,0.53,
270,0.54,
280,0.56,
290,0.58,
300,0.59,
310,0.61,
320,0.62,
330,0.64,
340,0.65,
350,0.66,
360,0.67,
370,0.68,
380,0.70,
390,0.71,
400,0.71,
410,0.72,
420,0.73,
430,0.74,
440,0.75,
450,0.76,
460,0.76,
470,0.77,
480,0.78,
490,0.78,
500,0.79,
510,0.79,
520,0.80,
530,0.80,
540,0.81,
550,0.81,
560,0.82,
570,0.82,
580,0.83,
590,0.83,
600,0.83,
610,0.84,
620,0.84,
630,0.85,
640,0.85,
650,0.85,
660,0.85,
670,0.86,
680,0.86,
690,0.86,
700,0.87,
710,0.87,
720,0.87,
730,0.87,
740,0.88,
750,0.88,
760,0.88,
770,0.88,
780,0.89,
790,0.89,
800,0.89,
810,0.89,
820,0.89,
830,0.90,
840,0.90,
850,0.90,
860,0.90,
870,0.90,
880,0.90,
890,0.91,
900,0.91,
910,0.91,
920,0.91,
930,0.91,
940,0.92,
950,0.92,
960,0.92,
970,0.92,
980,0.92,
990,0.92,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.32,
80,0.48,
90,0.57,
100,0.63,
110,0.67,
120,0.70,
130,0.73,
140,0.77,
150,0.81,
160,0.83,
170,0.85,
180,0.87,
190,0.88,
200,0.89,
210,0.90,
220,0.91,
230,0.91,
240,0.92,
250,0.92,
260,0.93,
270,0.93,
280,0.93,
290,0.93,
300,0.94,
310,0.94,
320,0.94,
330,0.95,
340,0.95,
350,0.95,
360,0.95,
370,0.95,
380,0.96,
390,0.96,
400,0.96,
410,0.96,
420,0.97,
430,0.97,
440,0.97,
450,0.97,
460,0.98,
470,0.98,
480,0.98,
490,0.98,
500,0.98,
510,0.98,
520,0.99,
530,0.99,
540,0.99,
550,0.99,
560,0.99,
570,0.99,
580,0.99,
590,0.99,
600,0.99,
610,0.99,
620,0.99,
630,0.99,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
