DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.04,
50,0.08,
60,0.11,
70,0.13,
80,0.16,
90,0.18,
100,0.20,
110,0.23,
120,0.27,
130,0.31,
140,0.34,
150,0.38,
160,0.41,
170,0.44,
180,0.47,
190,0.50,
200,0.53,
210,0.56,
220,0.58,
230,0.60,
240,0.63,
250,0.65,
260,0.67,
270,0.68,
280,0.70,
290,0.71,
300,0.73,
310,0.74,
320,0.75,
330,0.76,
340,0.77,
350,0.78,
360,0.79,
370,0.80,
380,0.81,
390,0.82,
400,0.82,
410,0.83,
420,0.84,
430,0.84,
440,0.85,
450,0.85,
460,0.86,
470,0.86,
480,0.87,
490,0.87,
500,0.87,
510,0.88,
520,0.88,
530,0.88,
540,0.89,
550,0.89,
560,0.89,
570,0.89,
580,0.90,
590,0.90,
600,0.90,
610,0.90,
620,0.91,
630,0.91,
640,0.91,
650,0.91,
660,0.91,
670,0.92,
680,0.92,
690,0.92,
700,0.92,
710,0.92,
720,0.93,
730,0.93,
740,0.93,
750,0.93,
760,0.93,
770,0.93,
780,0.93,
790,0.94,
800,0.94,
810,0.94,
820,0.94,
830,0.94,
840,0.94,
850,0.94,
860,0.95,
870,0.95,
880,0.95,
890,0.95,
900,0.95,
910,0.95,
920,0.95,
930,0.95,
940,0.96,
950,0.96,
960,0.96,
970,0.96,
980,0.96,
990,0.96,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.36,
80,0.51,
90,0.60,
100,0.66,
110,0.70,
120,0.73,
130,0.76,
140,0.80,
150,0.83,
160,0.85,
170,0.87,
180,0.88,
190,0.89,
200,0.90,
210,0.91,
220,0.91,
230,0.92,
240,0.92,
250,0.93,
260,0.93,
270,0.93,
280,0.94,
290,0.94,
300,0.94,
310,0.94,
320,0.95,
330,0.95,
340,0.95,
350,0.95,
360,0.96,
370,0.96,
380,0.96,
390,0.96,
400,0.97,
410,0.97,
420,0.97,
430,0.97,
440,0.98,
450,0.98,
460,0.98,
470,0.98,
480,0.98,
490,0.98,
500,0.99,
510,0.99,
520,0.99,
530,0.99,
540,0.99,
550,0.99,
560,0.99,
570,0.99,
580,0.99,
590,0.99,
600,0.99,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
