DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.83,
50,0.84,
60,0.84,
70,0.84,
80,0.85,
90,0.89,
100,0.93,
110,0.94,
120,0.94,
130,0.94,
140,0.95,
150,0.95,
160,0.95,
170,0.95,
180,0.96,
190,0.96,
200,0.96,
210,0.96,
220,0.97,
230,0.97,
240,0.97,
250,0.97,
260,0.98,
270,0.98,
280,0.98,
290,0.99,
300,0.99,
310,0.99,
320,0.99,
330,1.00,
340,1.00,
350,1.00,
360,1.00,
370,1.00,
380,1.00,
390,1.00,
400,1.00,
410,1.00,
420,1.00,
430,1.00,
440,1.00,
450,1.00,
460,1.00,
470,1.00,
480,1.00,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.90,
80,0.91,
90,0.91,
100,0.91,
110,0.91,
120,0.93,
130,0.94,
140,0.94,
150,0.95,
160,0.95,
170,0.95,
180,0.95,
190,0.96,
200,0.96,
210,0.96,
220,0.96,
230,0.97,
240,0.97,
250,0.97,
260,0.97,
270,0.98,
280,0.98,
290,0.98,
300,0.98,
310,0.99,
320,0.99,
330,0.99,
340,0.99,
350,1.00,
360,1.00,
370,1.00,
380,1.00,
390,1.00,
400,1.00,
410,1.00,
420,1.00,
430,1.00,
440,1.00,
450,1.00,
460,1.00,
470,1.00,
480,1.00,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
