DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.44,
50,0.52,
60,0.56,
70,0.58,
80,0.59,
90,0.69,
100,0.76,
110,0.85,
120,0.88,
130,0.90,
140,0.92,
150,0.93,
160,0.93,
170,0.93,
180,0.94,
190,0.94,
200,0.94,
210,0.95,
220,0.95,
230,0.95,
240,0.95,
250,0.95,
260,0.95,
270,0.96,
280,0.96,
290,0.96,
300,0.96,
310,0.96,
320,0.97,
330,0.97,
340,0.97,
350,0.97,
360,0.98,
370,0.98,
380,0.98,
390,0.98,
400,0.98,
410,0.99,
420,0.99,
430,0.99,
440,0.99,
450,0.99,
460,0.99,
470,1.00,
480,1.00,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.77,
80,0.83,
90,0.84,
100,0.85,
110,0.85,
120,0.89,
130,0.93,
140,0.94,
150,0.94,
160,0.95,
170,0.95,
180,0.95,
190,0.95,
200,0.95,
210,0.95,
220,0.96,
230,0.96,
240,0.96,
250,0.96,
260,0.96,
270,0.97,
280,0.97,
290,0.97,
300,0.97,
310,0.98,
320,0.98,
330,0.98,
340,0.98,
350,0.99,
360,0.99,
370,0.99,
380,0.99,
390,1.00,
400,1.00,
410,1.00,
420,1.00,
430,1.00,
440,1.00,
450,1.00,
460,1.00,
470,1.00,
480,1.00,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
