DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.16,
50,0.28,
60,0.37,
70,0.43,
80,0.47,
90,0.51,
100,0.53,
110,0.56,
120,0.58,
130,0.61,
140,0.63,
150,0.65,
160,0.67,
170,0.69,
180,0.70,
190,0.72,
200,0.73,
210,0.75,
220,0.76,
230,0.77,
240,0.79,
250,0.80,
260,0.81,
270,0.82,
280,0.83,
290,0.84,
300,0.85,
310,0.85,
320,0.86,
330,0.87,
340,0.88,
350,0.88,
360,0.89,
370,0.89,
380,0.90,
390,0.90,
400,0.91,
410,0.91,
420,0.91,
430,0.92,
440,0.92,
450,0.92,
460,0.93,
470,0.93,
480,0.93,
490,0.93,
500,0.94,
510,0.94,
520,0.94,
530,0.94,
540,0.95,
550,0.95,
560,0.95,
570,0.95,
580,0.95,
590,0.95,
600,0.96,
610,0.96,
620,0.96,
630,0.96,
640,0.96,
650,0.96,
660,0.97,
670,0.97,
680,0.97,
690,0.97,
700,0.97,
710,0.97,
720,0.97,
730,0.97,
740,0.97,
750,0.98,
760,0.98,
770,0.98,
780,0.98,
790,0.98,
800,0.98,
810,0.98,
820,0.98,
830,0.98,
840,0.98,
850,0.98,
860,0.98,
870,0.98,
880,0.99,
890,0.99,
900,0.99,
910,0.99,
920,0.99,
930,0.99,
940,0.99,
950,0.99,
960,0.99,
970,0.99,
980,0.99,
990,0.99,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.52,
80,0.69,
90,0.78,
100,0.82,
110,0.85,
120,0.86,
130,0.88,
140,0.90,
150,0.92,
160,0.93,
170,0.93,
180,0.94,
190,0.94,
200,0.94,
210,0.95,
220,0.95,
230,0.95,
240,0.95,
250,0.95,
260,0.96,
270,0.96,
280,0.96,
290,0.96,
300,0.96,
310,0.96,
320,0.97,
330,0.97,
340,0.97,
350,0.97,
360,0.97,
370,0.98,
380,0.98,
390,0.98,
400,0.98,
410,0.99,
420,0.99,
430,0.99,
440,0.99,
450,0.99,
460,0.99,
470,0.99,
480,1.00,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
