DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.04,
50,0.07,
60,0.10,
70,0.12,
80,0.13,
90,0.15,
100,0.17,
110,0.20,
120,0.22,
130,0.25,
140,0.28,
150,0.30,
160,0.33,
170,0.35,
180,0.38,
190,0.40,
200,0.42,
210,0.45,
220,0.47,
230,0.49,
240,0.50,
250,0.52,
260,0.54,
270,0.56,
280,0.57,
290,0.59,
300,0.60,
310,0.61,
320,0.63,
330,0.64,
340,0.65,
350,0.66,
360,0.67,
370,0.68,
380,0.69,
390,0.70,
400,0.71,
410,0.72,
420,0.73,
430,0.74,
440,0.74,
450,0.75,
460,0.76,
470,0.76,
480,0.77,
490,0.78,
500,0.78,
510,0.79,
520,0.79,
530,0.80,
540,0.80,
550,0.81,
560,0.81,
570,0.82,
580,0.82,
590,0.82,
600,0.83,
610,0.83,
620,0.83,
630,0.84,
640,0.84,
650,0.84,
660,0.85,
670,0.85,
680,0.85,
690,0.86,
700,0.86,
710,0.86,
720,0.86,
730,0.87,
740,0.87,
750,0.87,
760,0.87,
770,0.88,
780,0.88,
790,0.88,
800,0.88,
810,0.88,
820,0.89,
830,0.89,
840,0.89,
850,0.89,
860,0.89,
870,0.90,
880,0.90,
890,0.90,
900,0.90,
910,0.90,
920,0.91,
930,0.91,
940,0.91,
950,0.91,
960,0.91,
970,0.91,
980,0.91,
990,0.92,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.38,
80,0.53,
90,0.61,
100,0.66,
110,0.70,
120,0.72,
130,0.75,
140,0.79,
150,0.82,
160,0.84,
170,0.86,
180,0.87,
190,0.88,
200,0.89,
210,0.90,
220,0.90,
230,0.91,
240,0.91,
250,0.92,
260,0.92,
270,0.93,
280,0.93,
290,0.93,
300,0.94,
310,0.94,
320,0.94,
330,0.94,
340,0.95,
350,0.95,
360,0.95,
370,0.96,
380,0.96,
390,0.96,
400,0.96,
410,0.97,
420,0.97,
430,0.97,
440,0.97,
450,0.97,
460,0.98,
470,0.98,
480,0.98,
490,0.98,
500,0.98,
510,0.98,
520,0.99,
530,0.99,
540,0.99,
550,0.99,
560,0.99,
570,0.99,
580,0.99,
590,0.99,
600,0.99,
610,0.99,
620,0.99,
630,0.99,
640,0.99,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
