DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.04,
50,0.07,
60,0.10,
70,0.12,
80,0.13,
90,0.15,
100,0.17,
110,0.20,
120,0.23,
130,0.26,
140,0.28,
150,0.31,
160,0.34,
170,0.36,
180,0.39,
190,0.41,
200,0.44,
210,0.46,
220,0.48,
230,0.50,
240,0.52,
250,0.54,
260,0.55,
270,0.57,
280,0.59,
290,0.60,
300,0.62,
310,0.63,
320,0.64,
330,0.65,
340,0.67,
350,0.68,
360,0.69,
370,0.70,
380,0.71,
390,0.72,
400,0.72,
410,0.73,
420,0.74,
430,0.75,
440,0.76,
450,0.76,
460,0.77,
470,0.78,
480,0.78,
490,0.79,
500,0.79,
510,0.80,
520,0.80,
530,0.81,
540,0.81,
550,0.82,
560,0.82,
570,0.83,
580,0.83,
590,0.83,
600,0.84,
610,0.84,
620,0.84,
630,0.85,
640,0.85,
650,0.85,
660,0.86,
670,0.86,
680,0.86,
690,0.86,
700,0.87,
710,0.87,
720,0.87,
730,0.87,
740,0.88,
750,0.88,
760,0.88,
770,0.88,
780,0.89,
790,0.89,
800,0.89,
810,0.89,
820,0.89,
830,0.90,
840,0.90,
850,0.90,
860,0.90,
870,0.90,
880,0.90,
890,0.91,
900,0.91,
910,0.91,
920,0.91,
930,0.91,
940,0.91,
950,0.92,
960,0.92,
970,0.92,
980,0.92,
990,0.92,
1000,0.92,
1010,0.93,
1020,0.93,
1030,0.93,
1040,0.93,
1050,0.93,
1060,0.93,
1070,0.93,
1080,0.94,
1090,0.94,
1100,0.94,
1110,0.94,
1120,0.94,
1130,0.94,
1140,0.94,
1150,0.95,
1160,0.95,
1170,0.95,
1180,0.95,
1190,0.95,
1200,0.95,
1210,0.95,
1220,0.96,
1230,0.96,
1240,0.96,
1250,0.96,
1260,0.96,
1270,0.96,
1280,0.96,
1290,0.96,
1300,0.97,
1310,0.97,
1320,0.97,
1330,0.97,
1340,0.97,
1350,0.97,
1360,0.97,
1370,0.97,
1380,0.97,
1390,0.97,
1400,0.98,
1410,0.98,
1420,0.98,
1430,0.98,
1440,0.98,
1450,0.98,
1460,0.98,
1470,0.98,
1480,0.98,
1490,0.98,
1500,0.98,
1510,0.98,
1520,0.98,
1530,0.99,
1540,0.99,
1550,0.99,
1560,0.99,
1570,0.99,
1580,0.99,
1590,0.99,
1600,0.99,
1610,0.99,
1620,0.99,
1630,0.99,
1640,0.99,
1650,0.99,
1660,0.99,
1670,0.99,
1680,0.99,
1690,0.99,
1700,0.99,
1710,0.99,
1720,0.99,
1730,0.99,
1740,0.99,
1750,0.99,
1760,0.99,
1770,0.99,
1780,0.99,
1790,0.99,
1800,1.00,
1810,1.00,
1820,1.00,
1830,1.00,
1840,1.00,
1850,1.00,
1860,1.00,
1870,1.00,
1880,1.00,
1890,1.00,
1900,1.00,
1910,1.00,
1920,1.00,
1930,1.00,
1940,1.00,
1950,1.00,
1960,1.00,
1970,1.00,
1980,1.00,
1990,1.00,
2000,1.00,
2010,1.00,
2020,1.00,
2030,1.00,
2040,1.00,
2050,1.00,
2060,1.00,
2070,1.00,
2080,1.00,
2090,1.00,
2100,1.00,
2110,1.00,
2120,1.00,
2130,1.00,
2140,1.00,
2150,1.00,
2160,1.00,
2170,1.00,
2180,1.00,
2190,1.00,
2200,1.00,
2210,1.00,
2220,1.00,
2230,1.00,
2240,1.00,
2250,1.00,
2260,1.00,
2270,1.00,
2280,1.00,
2290,1.00,
2300,1.00,
2310,1.00,
2320,1.00,
2330,1.00,
2340,1.00,
2350,1.00,
2360,1.00,
2370,1.00,
2380,1.00,
2390,1.00,
2400,1.00,
2410,1.00,
2420,1.00,
2430,1.00,
2440,1.00,
2450,1.00,
2460,1.00,
2470,1.00,
2480,1.00,
2490,1.00,
2500,1.00,
2510,1.00,
2520,1.00,
2530,1.00,
2540,1.00,
2550,1.00,
2560,1.00,
2570,1.00,
2580,1.00,
2590,1.00,
2600,1.00,
2610,1.00,
2620,1.00,
2630,1.00,
2640,1.00,
2650,1.00,
2660,1.00,
2670,1.00,
2680,1.00,
2690,1.00,
2700,1.00,
2710,1.00,
2720,1.00,
2730,1.00,
2740,1.00,
2750,1.00,
2760,1.00,
2770,1.00,
2780,1.00,
2790,1.00,
2800,1.00,
2810,1.00,
2820,1.00,
2830,1.00,
2840,1.00,
2850,1.00,
2860,1.00,
2870,1.00,
2880,1.00,
2890,1.00,
2900,1.00,
2910,1.00,
2920,1.00,
2930,1.00,
2940,1.00,
2950,1.00,
2960,1.00,
2970,1.00,
2980,1.00,
2990,1.00,
3000,1.00,
3010,1.00,
3020,1.00,
3030,1.00,
3040,1.00,
3050,1.00,
3060,1.00,
3070,1.00,
3080,1.00,
3090,1.00,
3100,1.00,
3110,1.00,
3120,1.00,
3130,1.00,
3140,1.00,
3150,1.00,
3160,1.00,
3170,1.00,
3180,1.00,
3190,1.00,
3200,1.00,
3210,1.00,
3220,1.00,
3230,1.00,
3240,1.00,
3250,1.00,
3260,1.00,
3270,1.00,
3280,1.00,
3290,1.00,
3300,1.00,
3310,1.00,
3320,1.00,
3330,1.00,
3340,1.00,
3350,1.00,
3360,1.00,
3370,1.00,
3380,1.00,
3390,1.00,
3400,1.00,
3410,1.00,
3420,1.00,
3430,1.00,
3440,1.00,
3450,1.00,
3460,1.00,
3470,1.00,
3480,1.00,
3490,1.00,
3500,1.00,
3510,1.00,
3520,1.00,
3530,1.00,
3540,1.00,
3550,1.00,
3560,1.00,
3570,1.00,
3580,1.00,
3590,1.00,
3600,1.00,
3610,1.00,
3620,1.00,
3630,1.00,
3640,1.00,
3650,1.00,
3660,1.00,
3670,1.00,
3680,1.00,
3690,1.00,
3700,1.00,
3710,1.00,
3720,1.00,
3730,1.00,
3740,1.00,
3750,1.00,
3760,1.00,
3770,1.00,
3780,1.00,
3790,1.00,
3800,1.00,
3810,1.00,
3820,1.00,
3830,1.00,
3840,1.00,
3850,1.00,
3860,1.00,
3870,1.00,
3880,1.00,
3890,1.00,
3900,1.00,
3910,1.00,
3920,1.00,
3930,1.00,
3940,1.00,
3950,1.00,
3960,1.00,
3970,1.00,
3980,1.00,
3990,1.00,
4000,1.00,
4010,1.00,
4020,1.00,
4030,1.00,
4040,1.00,
4050,1.00,
4060,1.00,
4070,1.00,
4080,1.00,
4090,1.00,
4100,1.00,
4110,1.00,
4120,1.00,
4130,1.00,
4140,1.00,
4150,1.00,
4160,1.00,
4170,1.00,
4180,1.00,
4190,1.00,
4200,1.00,
4210,1.00,
4220,1.00,
4230,1.00,
4240,1.00,
4250,1.00,
4260,1.00,
4270,1.00,
4280,1.00,
4290,1.00,
4300,1.00,
4310,1.00,
4320,1.00,
4330,1.00,
4340,1.00,
4350,1.00,
4360,1.00,
4370,1.00,
4380,1.00,
4390,1.00,
4400,1.00,
4410,1.00,
4420,1.00,
4430,1.00,
4440,1.00,
4450,1.00,
4460,1.00,
4470,1.00,
4480,1.00,
4490,1.00,
4500,1.00,
4510,1.00,
4520,1.00,
4530,1.00,
4540,1.00,
4550,1.00,
4560,1.00,
4570,1.00,
4580,1.00,
4590,1.00,
4600,1.00,
4610,1.00,
4620,1.00,
4630,1.00,
4640,1.00,
4650,1.00,
4660,1.00,
4670,1.00,
4680,1.00,
4690,1.00,
4700,1.00,
4710,1.00,
4720,1.00,
4730,1.00,
4740,1.00,
4750,1.00,
4760,1.00,
4770,1.00,
4780,1.00,
4790,1.00,
4800,1.00,
4810,1.00,
4820,1.00,
4830,1.00,
4840,1.00,
4850,1.00,
4860,1.00,
4870,1.00,
4880,1.00,
4890,1.00,
4900,1.00,
4910,1.00,
4920,1.00,
4930,1.00,
4940,1.00,
4950,1.00,
4960,1.00,
4970,1.00,
4980,1.00,
4990,1.00,
5000,1.00,
5010,1.00,
5020,1.00,
5030,1.00,
5040,1.00,
5050,1.00,
5060,1.00,
5070,1.00,
5080,1.00,
5090,1.00,
5100,1.00,
5110,1.00,
5120,1.00,
5130,1.00,
5140,1.00,
5150,1.00,
5160,1.00,
5170,1.00,
5180,1.00,
5190,1.00,
5200,1.00,
5210,1.00,
5220,1.00,
5230,1.00,
5240,1.00,
5250,1.00,
5260,1.00,
5270,1.00,
5280,1.00,
5290,1.00,
5300,1.00,
5310,1.00,
5320,1.00,
5330,1.00,
5340,1.00,
5350,1.00,
5360,1.00,
5370,1.00,
5380,1.00,
5390,1.00,
5400,1.00,
5410,1.00,
5420,1.00,
5430,1.00,
5440,1.00,
5450,1.00,
5460,1.00,
5470,1.00,
5480,1.00,
5490,1.00,
5500,1.00,
5510,1.00,
5520,1.00,
5530,1.00,
5540,1.00,
5550,1.00,
5560,1.00,
5570,1.00,
5580,1.00,
5590,1.00,
5600,1.00,
5610,1.00,
5620,1.00,
5630,1.00,
5640,1.00,
5650,1.00,
5660,1.00,
5670,1.00,
5680,1.00,
5690,1.00,
5700,1.00,
5710,1.00,
5720,1.00,
5730,1.00,
5740,1.00,
5750,1.00,
5760,1.00,
5770,1.00,
5780,1.00,
5790,1.00,
5800,1.00,
5810,1.00,
5820,1.00,
5830,1.00,
5840,1.00,
5850,1.00,
5860,1.00,
5870,1.00,
5880,1.00,
5890,1.00,
5900,1.00,
5910,1.00,
5920,1.00,
5930,1.00,
5940,1.00,
5950,1.00,
5960,1.00,
5970,1.00,
5980,1.00,
5990,1.00,
6000,1.00,
6010,1.00,
6020,1.00,
6030,1.00,
6040,1.00,
6050,1.00,
6060,1.00,
6070,1.00,
6080,1.00,
6090,1.00,
6100,1.00,
6110,1.00,
6120,1.00,
6130,1.00,
6140,1.00,
6150,1.00,
6160,1.00,
6170,1.00,
6180,1.00,
6190,1.00,
6200,1.00,
6210,1.00,
6220,1.00,
6230,1.00,
6240,1.00,
6250,1.00,
6260,1.00,
6270,1.00,
6280,1.00,
6290,1.00,
6300,1.00,
6310,1.00,
6320,1.00,
6330,1.00,
6340,1.00,
6350,1.00,
6360,1.00,
6370,1.00,
6380,1.00,
6390,1.00,
6400,1.00,
6410,1.00,
6420,1.00,
6430,1.00,
6440,1.00,
6450,1.00,
6460,1.00,
6470,1.00,
6480,1.00,
6490,1.00,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.37,
80,0.52,
90,0.61,
100,0.66,
110,0.70,
120,0.72,
130,0.75,
140,0.79,
150,0.82,
160,0.84,
170,0.86,
180,0.87,
190,0.88,
200,0.89,
210,0.90,
220,0.90,
230,0.91,
240,0.91,
250,0.92,
260,0.92,
270,0.93,
280,0.93,
290,0.93,
300,0.94,
310,0.94,
320,0.94,
330,0.94,
340,0.95,
350,0.95,
360,0.95,
370,0.96,
380,0.96,
390,0.96,
400,0.96,
410,0.97,
420,0.97,
430,0.97,
440,0.97,
450,0.97,
460,0.98,
470,0.98,
480,0.98,
490,0.98,
500,0.98,
510,0.98,
520,0.99,
530,0.99,
540,0.99,
550,0.99,
560,0.99,
570,0.99,
580,0.99,
590,0.99,
600,0.99,
610,0.99,
620,0.99,
630,0.99,
640,0.99,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
1000,1.00,
1010,1.00,
1020,1.00,
1030,1.00,
1040,1.00,
1050,1.00,
1060,1.00,
1070,1.00,
1080,1.00,
1090,1.00,
1100,1.00,
1110,1.00,
1120,1.00,
1130,1.00,
1140,1.00,
1150,1.00,
1160,1.00,
1170,1.00,
1180,1.00,
1190,1.00,
1200,1.00,
1210,1.00,
1220,1.00,
1230,1.00,
1240,1.00,
1250,1.00,
1260,1.00,
1270,1.00,
1280,1.00,
1290,1.00,
1300,1.00,
1310,1.00,
1320,1.00,
1330,1.00,
1340,1.00,
1350,1.00,
1360,1.00,
1370,1.00,
1380,1.00,
1390,1.00,
1400,1.00,
1410,1.00,
1420,1.00,
1430,1.00,
1440,1.00,
1450,1.00,
1460,1.00,
1470,1.00,
1480,1.00,
1490,1.00,
1500,1.00,
1510,1.00,
1520,1.00,
1530,1.00,
1540,1.00,
1550,1.00,
1560,1.00,
1570,1.00,
1580,1.00,
1590,1.00,
1600,1.00,
1610,1.00,
1620,1.00,
1630,1.00,
1640,1.00,
1650,1.00,
1660,1.00,
1670,1.00,
1680,1.00,
1690,1.00,
1700,1.00,
1710,1.00,
1720,1.00,
1730,1.00,
1740,1.00,
1750,1.00,
1760,1.00,
1770,1.00,
1780,1.00,
1790,1.00,
1800,1.00,
1810,1.00,
1820,1.00,
1830,1.00,
1840,1.00,
1850,1.00,
1860,1.00,
1870,1.00,
1880,1.00,
1890,1.00,
1900,1.00,
1910,1.00,
1920,1.00,
1930,1.00,
1940,1.00,
1950,1.00,
1960,1.00,
1970,1.00,
1980,1.00,
1990,1.00,
2000,1.00,
2010,1.00,
2020,1.00,
2030,1.00,
2040,1.00,
2050,1.00,
2060,1.00,
2070,1.00,
2080,1.00,
2090,1.00,
2100,1.00,
2110,1.00,
2120,1.00,
2130,1.00,
2140,1.00,
2150,1.00,
2160,1.00,
2170,1.00,
2180,1.00,
2190,1.00,
2200,1.00,
2210,1.00,
2220,1.00,
2230,1.00,
2240,1.00,
2250,1.00,
2260,1.00,
2270,1.00,
2280,1.00,
2290,1.00,
2300,1.00,
2310,1.00,
2320,1.00,
2330,1.00,
2340,1.00,
2350,1.00,
2360,1.00,
2370,1.00,
2380,1.00,
2390,1.00,
2400,1.00,
2410,1.00,
2420,1.00,
2430,1.00,
2440,1.00,
2450,1.00,
2460,1.00,
2470,1.00,
2480,1.00,
2490,1.00,
2500,1.00,
2510,1.00,
2520,1.00,
2530,1.00,
2540,1.00,
2550,1.00,
2560,1.00,
2570,1.00,
2580,1.00,
2590,1.00,
2600,1.00,
2610,1.00,
2620,1.00,
2630,1.00,
2640,1.00,
2650,1.00,
2660,1.00,
2670,1.00,
2680,1.00,
2690,1.00,
2700,1.00,
2710,1.00,
2720,1.00,
2730,1.00,
2740,1.00,
2750,1.00,
2760,1.00,
2770,1.00,
2780,1.00,
2790,1.00,
2800,1.00,
2810,1.00,
2820,1.00,
2830,1.00,
2840,1.00,
2850,1.00,
2860,1.00,
2870,1.00,
2880,1.00,
2890,1.00,
2900,1.00,
2910,1.00,
2920,1.00,
2930,1.00,
2940,1.00,
2950,1.00,
2960,1.00,
2970,1.00,
2980,1.00,
2990,1.00,
3000,1.00,
3010,1.00,
3020,1.00,
3030,1.00,
3040,1.00,
3050,1.00,
3060,1.00,
3070,1.00,
3080,1.00,
3090,1.00,
3100,1.00,
3110,1.00,
3120,1.00,
3130,1.00,
3140,1.00,
3150,1.00,
3160,1.00,
3170,1.00,
3180,1.00,
3190,1.00,
3200,1.00,
3210,1.00,
3220,1.00,
3230,1.00,
3240,1.00,
