app,ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,
mose,0,0,0,0,0,0,
imgd,0,0,0,0,0,0,
cc,0,0,0,0,0,0,
bc,0,0,0,0,0,0,
lbm,0.992622,0.895508,3.7367,0.8559,119.8,103.3,
masst,0,0,0,0,0,0,
pr,0,0,0,0,0,0,
cactB,0.0,0.0,0,0,0.0,0.0,
tc,0,0,0,0,0,0,
parst,1.688423,1.650758,0.0581,0.014,92.1,94.5,
sphx,0,0,0,0,0,0,
bfs,0,0,0,0,0,0,
omntp,1.074523,1.006319,3.1812,0.7599,116.0,103.2,
wrf,1.548053,1.532293,2.2541,0.5492,111.5,102.5,
xz,0,0,0,0,0,0,
mica,0,0,0,0,0,0,
cam4,1.132694,1.136587,2.1596,0.5614,134.0,108.5,
mDB,0,0,0,0,0,0,
mcf,0.0,0.0,0,0,0.0,0.0,
sssp,0,0,0,0,0,0,
xapn,0,0,0,0,0,0,
leela,1.886953,1.877667,0.0106,0.0024,91.7,93.9,
nab,1.737989,1.736667,0.2727,0.0683,99.5,100.5,
povray,0.0,0.0,0,0,0.0,0.0,
deepsj,0.0,0.0,0,0,0.0,0.0,
perlbc,1.721482,1.685349,0.0007,0.0002,96.3,97.0,
