app,ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,
mose,0,0,0,0,0,0,
imgd,0,0,0,0,0,0,
cc,0,0,0,0,0,0,
bc,0,0,0,0,0,0,
lbm,0,0,0,0,0,0,
masst,1.59093,1.529669,2.0977,0.5159,99.5,98.2,
pr,0,0,0,0,0,0,
cactB,0,0,0,0,0,0,
tc,0,0,0,0,0,0,
parst,0,0,0,0,0,0,
sphx,1.245672,1.224498,0.0679,0.0173,97.5,98.3,
bfs,0,0,0,0,0,0,
omntp,0,0,0,0,0,0,
wrf,0,0,0,0,0,0,
xz,0,0,0,0,0,0,
mica,0,0,0,0,0,0,
cam4,0,0,0,0,0,0,
mDB,0,0,0,0,0,0,
mcf,0,0,0,0,0,0,
sssp,0,0,0,0,0,0,
xapn,1.892294,1.889431,0.0009,0.0003,94.0,92.8,
leela,0,0,0,0,0,0,
nab,0,0,0,0,0,0,
povray,0,0,0,0,0,0,
deepsj,0,0,0,0,0,0,
perlbc,0,0,0,0,0,0,
