app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,ddr_st,cxl_st,ddr_st_p90,cxl_st_p90
mose,2.034625,1.99694,0.0031,0.0007,93,98.6,,,,
imgd,1.885579,1.882952,0.0106,0.0026,91.7,94.1,,,,
cc,2.099075,2.103039,0.3384,0.0901,91.6,95.1,,,,
bc,0.91046,0.847706,0.1042,0.0242,97.3,99,,,,
lbm,1.196896,0.930298,0.1942,0.0374,94.7,95.6,,,,
masst,1.624534,1.558863,0.0874,0.0218,96.5,97,,,,
pr,1.012884,0.938567,0.3662,0.0794,93.3,96.5,,,,
cactB,1.756111,1.770786,0.0524,0.0134,117.9,121.2,,,,
tc,1.755761,1.741944,0.2125,0.0541,93.1,95.3,,,,
sphx,1.244662,1.22342,0.0039,0.001,96.9,96.5,,,,
bfs,1.613359,1.460643,0.2221,0.0514,95.4,96.6,,,,
omntp,1.490529,1.40931,0.0127,0.0032,97.3,98.4,,,,
wrf,1.579483,1.562813,0.0751,0.02,96.6,98.3,,,,
xz,1.985854,1.866884,0.0528,0.0125,99.3,99.8,,,,
cam4,1.293977,1.17045,0.0949,0.0216,95.9,97.5,,,,
mcf,1.585155,1.500955,0.165,0.0397,90.8,92.3,,,,
sssp,1.336904,1.245439,0.0672,0.0156,98.4,99,,,,
xapn,1.896684,1.889414,0.0001,0,93.7,93.8,,,,
nab,1.733386,1.734826,0.0169,0.0042,100.2,100.3,,,,
povray,1.919051,1.912456,0.0004,0.0002,102.7,103.2,,,,
deepsj,2.257903,2.218,0.0097,0.002,97.7,99.1,,,,
