app,ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,
mose,0,0,0,0,0,0,
imgd,0,0,0,0,0,0,
cc,0,0,0,0,0,0,
bc,0,0,0,0,0,0,
lbm,0,0,0,0,0,0,
masst,1.624534,1.558863,0.0874,0.0218,96.5,97.0,
pr,0,0,0,0,0,0,
cactB,0,0,0,0,0,0,
tc,0,0,0,0,0,0,
parst,0,0,0,0,0,0,
sphx,1.244662,1.22342,0.0039,0.001,96.9,96.5,
bfs,0,0,0,0,0,0,
omntp,0,0,0,0,0,0,
wrf,0,0,0,0,0,0,
xz,0,0,0,0,0,0,
mica,0,0,0,0,0,0,
cam4,0,0,0,0,0,0,
mDB,0,0,0,0,0,0,
mcf,0,0,0,0,0,0,
sssp,0,0,0,0,0,0,
xapn,1.896684,1.889414,0.0001,0.0,93.7,93.8,
leela,0,0,0,0,0,0,
nab,0,0,0,0,0,0,
povray,0,0,0,0,0,0,
deepsj,0,0,0,0,0,0,
perlbc,0,0,0,0,0,0,
