app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,ddr_st,cxl_st,ddr_st_p90,cxl_st_p90
moses,1.861636,1.838942,6.2893,1.7069,115.6,100.7,
imgdnn,1.306757,1.47561,13.1443,3.9064,118.3,99.3,
cc,1.267567,1.525458,13.0158,3.8466,141.3,111.0,
bc,0.80289,0.770412,6.1259,1.4779,109.7,101.9,
masstree,1.538721,1.491245,5.2671,1.2777,104.3,99.6,
pr,0.821038,0.873874,10.7554,2.9228,123.6,105.4,
tc,1.499112,1.438094,8.8547,2.2997,102.1,99.5,
sphinx,1.131423,1.096582,0.7494,0.1934,103.2,99.4,
bfs,1.540511,1.485235,8.847,2.0721,111.4,101.3,
mica,1.43,1.18,1,0.3,99,97,,,,
monetDB,1.435442,1.544384,2.0862,0.7617,138.9,108.8,
sssp,1.275335,1.186562,3.0661,0.7077,104.2,100.7,
xapian,1.894946,1.887844,0.0037,0.0008,95.1,92.7,
lbm,0.90427,0.870211,7.5984,1.8286,130.5,106.2,
cactuBSSN,1.573779,1.689294,5.4551,1.4806,130.3,112.4,
parest,1.685644,1.650711,0.9993,0.2291,96.1,95.6,
omnetpp,0.970086,0.942423,6.7743,1.6488,125.7,106.0,
wrf,1.469695,1.489752,7.1065,1.7489,138.5,111.2,
xz,1.563697,1.546761,6.9517,1.7382,124.1,105.5,
cam4,1.111053,1.139477,4.244,1.1162,140.8,110.6,
mcf,1.558962,1.486783,5.3064,1.2999,96.0,94.1,
leela,1.885467,1.876387,0.0211,0.005,91.7,94.2,
povray,1.918218,1.914384,0.0107,0.0029,97.8,98.2,
perlbench,1.737022,1.699956,0.01,0.0021,96.6,98.1,
