app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,ddr_st,cxl_st,ddr_st_p90,cxl_st_p90
moses,1.03,1.43,27.2006,10.6046,251.2,126.3,,,,
imgdnn,0.658801,1.152104,28.4613,12.421,195.2,112.3,,,,
cc,1.040967,1.464517,21.3534,7.2474,173.3,116.6,,,,
bc,,,,,,,,,,
masstree,1.364166,1.356299,13.0647,3.2438,116.2,102,,,,
pr,0.74599,0.855573,18.7762,5.6735,140.6,108.9,,,,
tc,1.370463,1.394812,17.7453,4.6636,113.2,101.5,,,,
sphinx,0.821041,0.83203,9.9098,2.5223,124.4,104.7,,,,
bfs,1.459811,1.467067,13.6293,3.1103,120.3,103,,,,
mica,1.3,1.13,3.91,0.95,102,99,,,,
monetDB,1.40776,1.487641,4.685,2.0172,139.9,110.2,,,,
sssp,1.143176,1.076069,8.0966,1.8782,113.4,103.1,,,,
xapian,1.879523,1.869168,1.1614,0.2937,100.5,95.5,,,,
lbm,,,,,,,,,,
cactuBSSN,1.447234,1.651792,12.0573,3.4502,154.2,116.8,,,,
parest,1.465275,1.419943,9.2333,2.2636,98.1,95.7,,,,
omnetpp,0.861057,0.883511,13.9135,3.5553,142.1,109.7,,,,
wrf,1.33558,1.412836,14.1995,4.1003,160.6,115.5,,,,
xz,,,,,,,,,,
cam4,1.093868,1.153116,8.815,2.3508,150.1,112.9,,,,
mcf,,,,,,,,,,
leela,1.882008,1.872959,0.0379,0.0094,91.8,93.9,,,,
nab,1.737394,1.73814,1.0943,0.2739,100.7,100.3,,,,
povray,1.917851,1.913949,0.0332,0.0082,98,98.3,,,,
deepsjeng,,,,,,,,,,
perlbench,0,1.698846,0.2133,0.0511,0,99.2,,,,
