app,ddr_mbw,ddr_mlat,ddr_mlat,cxl_mbw,cxl_mlat
moses,32.7338,713,93,22.441,182.1
imgdnn,32.4353,340.1,91.7,21.7806,132.3
cc,27.4275,263.6,91.6,13.3665,128.5
bc,24.348,271.5,97.3,10.0093,124
masstree,23.9778,241.1,96.5,15.4015,133
pr,26.698,204.8,93.3,10.8331,116.5
tc,27.1543,159.2,93.1,8.6322,105
sphinx,22.3316,190,96.9,7.079,113
bfs,15.2211,160,95.4,3.0622,106
mica,13.9,119.9,95,3.63,105.5
monetDB,13.2783,161.2,94.3,3.5241,112.9
sssp,9.5235,144.8,98.4,2.38863905554483,108.5
xapian,11.6107,158,93.7,2.9771,111
lbm,25.8164,308.1,94.7,11.2189,137
cactuBSSN,18.5241,264.5,117.9,6.7298,126.8
parest,30.0181,167.1,91.14492844,10.3376,101.6
omnetpp,23.7399,195.4,97.3,7.1948,116.7
wrf,18.5202,203.4,96.6,6.2687,120.9
xz,12.3064,229.4,99.3,4.23549822804312,121.8
cam4,13.4292,168.4,95.9,3.6967,116.6
mcf,21.4622,140.9,90.8,5.5104,101
leela,0.3683,93,92.41638759,0.0814377176808091,94.3
nab,1.1039,102,100.2,0.275438307030122,100.1
povray,0.0701,101.4,102.7,0.0184,97
deepsjeng,1.7483,111.9,97.7,0.4193,102.6
perlbench,1.9944,108.3,97.19169699,0.4622,101
