app,10ns_ipc,50ns_ipc, ddr_ipc,30ns_ipcs
moses,1.081882,1.107539,0.35682,1.106062
imgdnn,1.00446,0.997714,0.368899,1.001474
cc,,,0.674596,1.359378
bc,0.432817,0.363408,0.21818,0.396122
masstree,0.644473,0.563084,0.373681,0.604092
pr,0.887004,0.761753,0.536243,0.819228
tc,1.427372,1.246229,1.001053,1.33487
sphinx,0.750897,0.64334,0.545072,0.693196
bfs,0,1.449513,1.241011,1.549528
mica,,,1.065,1.2
monetDB,1.53,1.46,1.325821,1.459922
sssp,,,0.914244,0.947421
xapian,1.811588,1.767485,1.771577,1.788797
lbm,,,0.360561,0.644653
cactuBSSN,1.592385,1.632486,1.117174,1.612453
parest,1.121073,0.948215,0.741384,1.028959
omnetpp,0.91377,0.755022,0.671067,0.826903
wrf,1.370922,1.316308,1.159048,1.346353
xz,,,1.09639435588752,1.25268
cam4,,,1.097378,1.211149
mcf,1.48367,1.350627,1.288626,1.417123
leela,,,1.87782,1.869055
nab,,,1.73423,1.736986
povray,,,1.910061,1.903025
deepsjeng,2.25279,2.195318,2.250542,2.224615
perlbench,1.726389,1.659785,1.730849,1.692264
