cores,MBW,AVGLAT,LAT90,IPC,
2, 8.003304242424242, 105.14352865113159, 80, 1.2744388043422745,
3, 11.32899652777778, 113.32693665228405, 100, 1.2239168251700823,
4, 12.85919755600815, 138.82433786665445, 140, 1.0570677958023682,
5, 9.81992474576272, 269.77612491366045, 810, 0.6644671945436992,
6, 11.736278190411884, 257.7766730005357, 700, 0.6606963470469895,
7, 13.692593792172733, 254.55940879856027, 440, 0.6597520949179441,
8, 15.650187584345435, 250.63081642668024, 450, 0.6589173943464021,
9, 16.923265703517576, 243.59120453229207, 450, 0.6412382531089572,
10, 17.31468077388148, 259.6964662274008, 450, 0.5836432432148944,
11, 17.531076327433528, 285.6598035873947, 510, 0.5438380877691142,
12, 17.598103730199163, 311.74573096874786, 550, 0.5096780498167771,
13, 17.626242090124435, 346.44411029715593, 580, 0.4665510961058126,
14, 17.638204808548267, 370.29672242424175, 590, 0.44066099279356746,
15, 17.648103214889762, 404.61536378576943, 610, 0.40632564132863375,
16, 17.65626877470328, 426.153520402035, 610, 0.38789519080933055,
17, 17.65913089970472, 423.4810336439576, 600, 0.3899435839354321,
18, 17.66599685204593, 442.10369768815144, 600, 0.3756983673840386,
19, 17.67989835728928, 525.0778556257193, 630, 0.3210003051878627,
