cores,MBW,AVGLAT,LAT90,IPC,
1, 0.7906118806938507, 130.93782553686032, 170, 0.36596921496119356,
2, 1.5641185573443372, 133.41558944648003, 170, 0.3587459968562721,
3, 2.3151940596530487, 135.92478979982755, 170, 0.3529749733342398,
4, 3.0491687882191574, 138.17643702202653, 170, 0.34835702821047176,
5, 3.7622298140521395, 140.69802222065533, 180, 0.3437460276549126,
6, 4.495146324722324, 143.88109729446623, 190, 0.33828445018300934,
7, 5.205293772619498, 147.0097689711873, 190, 0.33321586812346743,
8, 5.865428054411531, 149.50357368251426, 200, 0.3292233803751288,
9, 6.536729876450742, 152.6752526735865, 210, 0.32451110737439853,
10, 7.156482653188541, 155.492674259848, 220, 0.32059409043176823,
11, 7.765209534506459, 158.3551052075851, 230, 0.31668627113977976,
12, 8.355699987520303, 161.37573066485348, 240, 0.3129643733208587,
13, 8.922603768875534, 164.80775099344388, 260, 0.30882511177885164,
14, 9.495497192062853, 169.02012652254683, 270, 0.3039495085967738,
15, 10.033037127168331, 173.72431232343615, 280, 0.29888435375889305,
16, 10.488308810682682, 177.89111214552068, 300, 0.2947795190017321,
17, 10.934724946961214, 183.55576021215884, 310, 0.28937497935284484,
18, 11.34362829152627, 190.35164144716956, 330, 0.28288116732739166,
19, 11.664700112317464, 197.5327552534889, 350, 0.2764052203428659,
20, 11.946856358417548, 206.28964762285923, 380, 0.2689597200443567,
21, 12.154826594284218, 215.52382352188593, 400, 0.26132977566338894,
22, 12.327340696368484, 226.3968539085535, 420, 0.2525178480768803,
23, 12.46764676151256, 236.65164452229035, 440, 0.24477914250246038,
24, 12.5708531136903, 247.82229689874404, 460, 0.23679475678475773,
25, 12.690324223137363, 258.35997950268256, 480, 0.22970204719152743,
26, 12.811008798203032, 269.264603510013, 500, 0.2226699150483393,
27, 12.906119493323386, 280.26405503772475, 520, 0.21593873765710453,
28, 13.010134094596271, 290.08362070345146, 530, 0.2105421562204568,
29, 13.13942636964934, 300.2138168198222, 550, 0.20509257626199062,
30, 13.254794646199937, 309.01876461712465, 560, 0.20079456758652736,
31, 13.371503806314866, 318.8168698872754, 570, 0.19594228840959466,
32, 13.495328279046653, 328.5010231619058, 580, 0.19166798054362938,
33, 13.621512167727493, 337.73599914829305, 590, 0.18754886244731198,
34, 13.735254711094601, 347.8447856373125, 600, 0.18347543706020686,
35, 13.858030887308198, 356.4519188667175, 610, 0.18015836854996145,
36, 13.973250467989592, 366.462706657579, 620, 0.17629700285743655,
